FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Pierre,Garcon,WR,WSH,CAR,#7,120,42,0,0,0,0,0,0,3.7,42.87,0.13,5.06,6.88,"$6,000",1.15
Harry,Douglas,WR,TEN,JAC,#23,121,43,0,0,0,0.06,1.07,0,3.12,37.52,0.2,5,6.7,"$5,300",1.26
Cecil,Shorts,WR,HOU,NYJ,#4,122,44,0,0,0,0,0,0,3.83,40.22,0.17,4.95,6.9,"$5,400",1.28
Jerricho,Cotchery,WR,CAR,WSH,#15,123,45,0,0,0,0,0,0,2.28,35.42,0.24,4.91,6.04,"$4,700",1.29
C.J.,Anderson,RB,DEN,CHI,#25,124,34,0,0,0,7.86,31.4,0.21,1.25,6.16,0,4.9,5.5,"$5,700",0.96
Anquan,Boldin,WR,SF,SEA,#3,125,46,0,0,0,0,0,0,3.29,40.58,0.15,4.9,6.54,"$5,700",1.15
Jermaine,Kearse,WR,SEA,SF,#29,126,47,0,0,0,0,0,0,3.09,39.8,0.15,4.87,6.43,"$5,200",1.24
Coby,Fleener,TE,IND,ATL,#19,127,18,0,0,0,0,0,0,3.01,31.19,0.29,4.83,6.32,"$5,000",1.26
Doug,Baldwin,WR,SEA,SF,#29,128,48,0,0,0,0,0,0,3.11,39.15,0.16,4.82,6.37,"$5,400",1.18
Vernon,Davis,TE,DEN,CHI,#25,129,19,0,0,0,0,0,0,2.81,29.54,0.3,4.78,6.16,"$5,000",1.23
Devin,Funchess,WR,CAR,WSH,#15,130,49,0,0,0,0,0,0,2.53,38.42,0.14,4.71,5.95,"$5,100",1.17
Marvin,Jones,WR,CIN,ARI,#6,131,50,0.68,0.02,0,0.02,0,0,3.04,39.1,0.12,4.69,6.22,"$5,400",1.15
Andre,Johnson,WR,IND,ATL,#19,132,51,0,0,0,0,0,0,2.09,28.38,0.27,4.46,5.5,"$5,400",1.02
Jordan,Cameron,TE,MIA,DAL,#22,133,20,0,0,0,0,0,0,2.24,27.18,0.29,4.41,5.58,"$4,900",1.14
Jay,Ajayi,RB,MIA,DAL,#22,134,35,0,0,0,3.7,24.65,0.3,0.78,1.47,0,4.39,4.8,"$5,200",0.92
Tyler,Lockett,WR,SEA,SF,#29,135,52,0,0,0,0.08,0.26,0,2.14,28.78,0.25,4.38,5.47,"$5,200",1.05
Charles,Sims,RB,TB,PHI,#5,136,36,0,0,0,4.94,21.74,0.04,2.12,16.8,0.06,4.35,5.35,"$5,200",1.03
Andre,Ellington,RB,ARI,CIN,#11,137,37,0,0,0,3.9,18.28,0.17,1.23,12.93,0.03,4.31,4.92,"$5,400",0.91
Matt,Jones,RB,WSH,CAR,#7,137,37,0,0,0,6.37,24.65,0.09,1.09,9.03,0.08,4.31,4.83,"$6,100",0.79
Dontrelle,Inman,WR,SD,KC,#9,138,53,0,0,0,0,0,0,2.4,34.68,0.14,4.28,5.47,"$5,000",1.09
Chris,Givens,WR,BAL,STL,#2,140,54,0,0,0,0.1,0.39,0,2.84,33.5,0.13,4.26,5.65,"$4,500",1.26
Darren,Fells,TE,ARI,CIN,#11,139,21,0,0,0,0,0,0,1.94,27.81,0.25,4.26,5.21,"$4,800",1.09
Jared,Cook,TE,STL,BAL,#17,141,22,0,0,0,0,0,0,2.71,29.01,0.24,4.24,5.58,"$4,800",1.16
David,Cobb,RB,TEN,JAC,#23,142,38,0.07,0.02,0,4.42,14.86,0.12,1.72,14.83,0.08,4.21,5.09,"$4,600",1.11
Mike,Wallace,WR,MIN,GB,#21,143,55,0.74,0.02,0,0,0,0,2.82,34.34,0.12,4.16,5.59,"$5,200",1.08
Kenny,Britt,WR,STL,BAL,#17,144,56,0,0,0,0,0,0,2.07,31.47,0.16,4.11,5.14,"$5,300",0.97
Darren,Sproles,RB,PHI,TB,#18,145,39,0,0,0,2.01,8.46,0.06,2.62,22.22,0.12,4.1,5.44,"$5,400",1.01
Mychal,Rivera,TE,OAK,DET,#27,146,23,0,0,0,0,0,0,2.83,27.18,0.21,3.99,5.43,"$4,700",1.16
Robert,Woods,WR,BUF,NE,#14,147,57,0,0,0,0.07,0.44,0,2.93,30.25,0.15,3.98,5.55,"$5,100",1.09
James,White,RB,NE,BUF,#10,148,40,0,0,0,1.8,5.38,0.05,2.72,30.96,0,3.9,5.29,"$5,100",1.04
Kendall,Gaskins,RB,SF,SEA,#3,148,40,0,0,0,5.42,19.82,0,1.91,19.23,0,3.9,4.86,"$5,000",0.97
Taiwan,Jones,RB,OAK,DET,#27,149,41,0,0,0,3.31,18.48,0.12,0.83,8.07,0.08,3.86,4.27,"$5,000",0.85
Torrey,Smith,WR,SF,SEA,#3,150,58,0,0,0,0,0,0,1.5,22.68,0.26,3.79,4.54,"$5,500",0.83
Nelson,Agholor,WR,PHI,TB,#18,151,59,0,0,0,0,0,0,2.13,28.44,0.16,3.75,4.85,"$5,100",0.95
Chris,Thompson,RB,WSH,CAR,#7,152,42,0,0,0,2.1,12.07,0.08,2.08,17.64,0.07,3.74,4.83,"$5,100",0.95
Fred,Jackson,RB,SEA,SF,#29,153,43,0,0,0,2.46,11.34,0.19,1.37,11.75,0.03,3.7,4.35,"$5,400",0.81
Devin,Street,WR,DAL,MIA,#26,154,60,0,0,0,0,0,0,1.11,25.26,0.19,3.67,4.22,"$4,900",0.86
Alfred,Morris,RB,WSH,CAR,#7,155,44,0,0,0,7.03,23.54,0.1,1.09,7.04,0,3.62,4.14,"$5,400",0.77
Ahmad,Bradshaw,RB,IND,ATL,#19,156,45,0,0,0,1.62,3.09,0.02,2,18.85,0.22,3.56,4.55,"$5,000",0.91
Albert,Wilson,WR,KC,SD,#28,157,61,0,0,0,0,0,0,1.69,25.76,0.17,3.55,4.4,"$4,500",0.98
Wes,Welker,WR,STL,BAL,#17,157,61,0,0,0,0,0,0,3.03,29.08,0.12,3.55,5.06,"$5,200",0.97
Lance,Moore,WR,DET,OAK,#31,158,62,0,0,0,0,0,0,2.17,24.66,0.17,3.47,4.57,"$5,100",0.9
Alfred,Blue,RB,HOU,NYJ,#4,159,46,0,0,0,6.87,22.57,0.04,1.25,9.65,0.02,3.46,4.09,"$5,700",0.72
Roddy,White,WR,ATL,IND,#20,160,63,0,0,0,0,0,0,1.75,26.13,0.14,3.45,4.33,"$5,400",0.8
Dexter,McCluster,RB,TEN,JAC,#23,161,47,0,0,0,5.22,18.87,0.06,1.68,11.62,0.02,3.33,4.19,"$5,200",0.81
Mohamed,Sanu,WR,CIN,ARI,#6,162,64,0.26,0,0,0.04,0.01,0,2.06,26.4,0.11,3.31,4.32,"$5,100",0.85
Anthony,Fasano,TE,TEN,JAC,#23,163,24,0,0,0,0,0,0,1.54,18.9,0.23,3.26,4.04,"$4,500",0.9
Aaron,Dobson,WR,NE,BUF,#10,164,65,0,0,0,0,0,0,2.75,29.66,0.04,3.23,4.58,"$4,500",1.02
Kyle,Rudolph,TE,MIN,GB,#21,165,25,0,0,0,0,0,0,2.33,23.14,0.16,3.21,4.4,"$4,700",0.94
Chris,Hogan,WR,BUF,NE,#14,166,66,0.37,0.01,0,0,0,0,1.85,23.28,0.13,3.18,4.09,"$4,900",0.83
Garrett,Celek,TE,SF,SEA,#3,167,26,0,0,0,0,0,0,1.97,21.8,0.16,3.17,4.17,"$4,800",0.87
Owen,Daniels,TE,DEN,CHI,#25,168,27,0,0,0,0,0,0,2.01,21.01,0.18,3.14,4.15,"$5,000",0.83
Michael,Floyd,WR,ARI,CIN,#11,169,67,0,0,0.01,0,0,0,1.35,21.44,0.15,2.99,3.71,"$6,400",0.58
Brandon,Tate,WR,CIN,ARI,#6,170,68,0.24,0,0,0,0,0,1.51,19.9,0.16,2.94,3.71,"$4,700",0.79
Brian,Quick,WR,STL,BAL,#17,171,69,0,0,0,0,0,0,1.96,22.53,0.12,2.93,3.95,"$4,700",0.84
Javorius,Allen,RB,BAL,STL,#2,172,48,0,0,0,3.28,15.19,0.04,1.38,9.19,0.03,2.79,3.49,"$4,900",0.71
Bilal,Powell,RB,NYJ,HOU,#13,173,49,0,0,0,3.19,14.2,0.06,1.16,7.86,0.05,2.78,3.37,"$4,900",0.69
Troy,Niklas,TE,ARI,CIN,#11,174,28,0,0,0,0,0,0,0.77,8.09,0.32,2.77,3.13,"$4,500",0.7
Chris,Polk,RB,HOU,NYJ,#4,175,50,0,0,0,4.95,15.7,0.07,1.32,9.09,0,2.76,3.44,"$5,200",0.66
Riley,Cooper,WR,PHI,TB,#18,176,70,0,0,0,0,0,0,1.15,18.51,0.14,2.75,3.29,"$5,100",0.65
Bennie,Fowler,WR,DEN,CHI,#25,177,71,0,0,0,0,0,0,1.64,18.49,0.13,2.67,3.47,"$4,800",0.72
Cole,Beasley,WR,DAL,MIA,#26,178,72,0,0,0,0,0,0,2.2,21.4,0.1,2.66,3.78,"$5,400",0.7
Brandon,Bolden,RB,NE,BUF,#10,180,51,0,0,0,0.96,2.52,0,1.86,15.27,0.15,2.62,3.55,"$5,900",0.6
Jaron,Brown,WR,ARI,CIN,#11,179,73,0,0,0,0,0,0,2.08,26.16,0,2.62,3.66,"$4,500",0.81
Mike,Tolbert,RB,CAR,WSH,#15,181,52,0,0,0,2.22,9.17,0.05,0.94,9.57,0.09,2.6,3.14,"$4,900",0.64
Jermaine,Gresham,TE,ARI,CIN,#11,182,29,0,0,0,0,0,0,1.47,17.82,0.14,2.57,3.34,"$4,500",0.74
Ladarius,Green,TE,SD,KC,#9,183,30,0,0,0,0,0,0,1.37,18.08,0.13,2.54,3.25,"$5,200",0.63
Miles,Austin,WR,PHI,TB,#18,184,74,0,0,0,0,0,0,1.26,20.55,0.07,2.47,3.11,"$5,000",0.62
Justin,Hardy,WR,ATL,IND,#20,185,75,0,0,0,0,0,0,2.55,21.56,0.07,2.46,3.77,"$4,500",0.84
Brent,Celek,TE,PHI,TB,#18,186,31,0,0,0,0,0,0,0.74,9.29,0.25,2.43,2.82,"$5,300",0.53
Ed,Dickson,TE,CAR,WSH,#15,187,32,0,0,0,0,0,0,1.82,16.44,0.13,2.41,3.31,"$4,800",0.69
Kenny,Stills,WR,MIA,DAL,#22,188,76,0,0,0,0,0,0,1.17,19.79,0.06,2.35,2.94,"$4,800",0.61
Jeremy,Kerley,WR,NYJ,HOU,#13,188,76,0,0,0,0,0,0,1.56,17.82,0.09,2.35,3.1,"$4,800",0.65
Jonathan,Grimes,RB,HOU,NYJ,#4,189,53,0,0,0,3.27,11.61,0,1.32,8.34,0.06,2.3,2.96,"$5,300",0.56
Spencer,Ware,RB,KC,SD,#28,191,54,0,0,0,3.53,13.19,0.14,0.41,1.1,0,2.25,2.47,"$4,700",0.53
Josh,Huff,WR,PHI,TB,#18,190,77,0,0,0,0,0,0,1.83,17.64,0.08,2.25,3.14,"$4,900",0.64
Derek,Carrier,TE,WSH,CAR,#7,193,33,0,0,0,0,0,0,1.25,11.24,0.19,2.24,2.95,"$4,900",0.6
Javontee,Herndon,WR,SD,KC,#9,192,78,0,0,0,0,0,0,1.24,16.09,0.1,2.24,2.85,$0,0
Brandon,Myers,TE,TB,PHI,#5,194,34,0,0,0,0,0,0,1.78,13.99,0.13,2.19,3.07,"$4,600",0.67
Donteea,Dye,WR,TB,PHI,#5,195,79,0,0,0,0,0,0,1.62,17.4,0.08,2.18,2.99,"$4,500",0.66
Chris,Conley,WR,KC,SD,#28,196,80,0,0,0,0,0,0,1.39,17.56,0.06,2.1,2.81,"$5,200",0.54
Luke,Willson,TE,SEA,SF,#29,197,35,0,0,0,0,0,0,1.14,13.67,0.12,2.09,2.68,"$4,500",0.6
Stevan,Ridley,RB,NYJ,HOU,#13,198,55,5.36,0.08,0,3.32,10.88,0,1.2,6.88,0,2.07,2.67,"$5,000",0.53
Andre,Holmes,WR,OAK,DET,#27,199,81,0,0,0,0,0,0,0.72,14.33,0.1,2.02,2.39,"$5,100",0.47
Jason,Avant,WR,KC,SD,#28,200,82,0,0,0,0,0,0,1.43,15.63,0.07,2.01,2.7,"$4,500",0.6
Griff,Whalen,WR,IND,ATL,#19,201,83,0.87,0.02,0,0,0,0,1.08,17.44,0.02,1.98,2.52,"$4,500",0.56
Ryan,Grant,WR,WSH,CAR,#7,202,84,0,0,0,0,0,0,1.29,15.58,0.07,1.97,2.6,"$4,600",0.57
Thomas,Rawls,RB,SEA,SF,#29,203,56,0,0,0,2.53,12.44,0.1,0.25,1.76,0,1.94,2.07,"$5,600",0.37
Charles,Johnson,WR,MIN,GB,#21,204,85,0,0,0,0,0,0,1.46,16.88,0.04,1.91,2.64,"$4,900",0.54
Maxx,Williams,TE,BAL,STL,#2,205,36,0,0,0,0,0,0,1.53,14.2,0.08,1.9,2.63,"$4,700",0.56
Quinton,Patton,WR,SF,SEA,#3,206,86,0,0,0,0,0,0,1.28,14.74,0.07,1.89,2.53,"$4,500",0.56
DeVante,Parker,WR,MIA,DAL,#22,207,87,0,0,0,0,0,0,1.14,14.12,0.07,1.88,2.44,"$4,500",0.54
Dion,Sims,TE,MIA,DAL,#22,208,37,0,0,0,0,0,0,1.33,12.64,0.1,1.86,2.51,"$4,600",0.55
Lance,Kendricks,TE,STL,BAL,#17,208,37,0,0,0,0,0,0,1.34,12.96,0.1,1.86,2.51,"$4,600",0.55
Jarius,Wright,WR,MIN,GB,#21,209,88,0,0,0,0.04,0.08,0,1.27,18.78,0,1.81,2.44,"$4,900",0.5
Clive,Walford,TE,OAK,DET,#27,210,38,0,0,0,0,0,0,0.89,8.64,0.15,1.79,2.21,"$4,800",0.46
Dwayne,Allen,TE,IND,ATL,#19,211,39,0,0,0,0,0,0,1.34,12.58,0.08,1.77,2.41,"$4,800",0.5
Nick,Williams,WR,ATL,IND,#20,212,89,0,0,0,0,0,0,1.11,15.66,0.03,1.76,2.32,"$4,500",0.52
Jaelen,Strong,WR,HOU,NYJ,#4,213,90,0,0,0,0,0,0,0.58,12.39,0.08,1.74,2.01,"$5,000",0.4
Marcel,Reece,RB,OAK,DET,#27,214,57,0,0,0,0.96,4.8,0.06,0.62,5.83,0.05,1.72,2.03,"$5,000",0.41
Scott,Chandler,TE,NE,BUF,#10,215,40,0,0,0,0,0,0,1.01,13.18,0.06,1.69,2.18,"$4,600",0.47
Chris,Gragg,TE,BUF,NE,#14,216,41,0,0,0,0,0,0,1.13,12.48,0.07,1.66,2.21,"$4,500",0.49
Keith,Mumphery,WR,HOU,NYJ,#4,217,91,0,0,0,0,0,0,1.55,15.14,0.03,1.63,2.41,"$4,800",0.5
Adam,Humphries,WR,TB,PHI,#5,218,92,0,0,0,0,0,0,1.58,15.76,0,1.58,2.37,"$5,000",0.47
Rhett,Ellison,TE,MIN,GB,#21,219,42,0,0,0,0,0,0,1.02,8.94,0.12,1.56,2.08,"$4,500",0.46
David,Johnson,RB,ARI,CIN,#11,220,58,-0.01,0,0,0.84,4.22,0.03,0.63,6.12,0.06,1.52,1.87,"$4,800",0.39
Tre,Mason,RB,STL,BAL,#17,221,59,0,0,0,2.28,8.07,0.03,0.94,5.43,0,1.5,1.96,"$5,000",0.39
Jeff,Cumberland,TE,NYJ,HOU,#13,222,43,0,0,0,0,0,0,0.85,9.56,0.09,1.49,1.92,"$4,500",0.43
Andre,Caldwell,WR,DEN,CHI,#25,223,93,0,0,0,0,0,0,1.29,14.4,0.01,1.49,2.11,"$4,500",0.47
De'Anthony,Thomas,RB,KC,SD,#28,224,60,0,0,0,1.25,5.89,0.04,0.61,4.35,0.02,1.36,1.69,"$4,500",0.38
Denard,Robinson,RB,JAC,TEN,#12,225,61,0,0,0,1.83,5.66,0.01,0.66,5.57,0.02,1.31,1.63,"$5,000",0.33
Levine,Toilolo,TE,ATL,IND,#20,226,44,0,0,0,0,0,0,1.01,8.58,0.05,1.16,1.64,"$4,500",0.36
Tony,Moeaki,TE,ATL,IND,#20,226,44,0,0,0,0,0,0,0.88,8.26,0.06,1.16,1.63,$0,0
Craig,Stevens,TE,TEN,JAC,#23,226,44,0,0,0,0,0,0,1.09,9.15,0.04,1.16,1.7,"$4,500",0.38
Jerick,McKinnon,RB,MIN,GB,#21,227,62,0,0,0,1.31,6.82,0.05,0.41,1.83,0,1.13,1.35,"$4,700",0.29
Matt,Asiata,RB,MIN,GB,#21,228,63,0,0,0,1.54,6.37,0.05,0.34,1.4,0.01,1.12,1.29,"$4,500",0.29
Dan,Herron,RB,BUF,NE,#14,229,64,0.27,0,0,1.68,5.57,0.03,0.51,3.73,0,1.09,1.38,$0,0
Greg,Jennings,WR,MIA,DAL,#22,230,94,0,0,0,0,0,0,0.79,8.23,0.04,1.06,1.44,"$4,500",0.32
Bruce,Miller,RB,SF,SEA,#3,231,65,0,0,0,0.44,2.58,0.01,0.34,3.12,0.06,1,1.16,"$4,500",0.26
Vance,McDonald,TE,SF,SEA,#3,232,45,0,0,0,0,0,0,0.99,6.53,0.06,0.99,1.51,"$4,600",0.33
Marcedes,Lewis,TE,JAC,TEN,#12,232,45,0,0,0,0,0,0,0.7,6.29,0.06,0.99,1.34,"$4,500",0.3
Terron,Ward,RB,ATL,IND,#20,233,66,0,0,0,0.87,3.43,0.02,0.46,4.06,0.02,0.96,1.22,"$4,500",0.27
Tevin,Coleman,RB,ATL,IND,#20,233,66,0,0,0,2.22,7.32,0.01,0.35,1.77,0,0.96,1.1,"$5,000",0.22
Benny,Cunningham,RB,STL,BAL,#17,234,67,0,0,0,1.38,3.96,0.01,0.61,3.89,0.01,0.94,1.21,"$4,700",0.26
Knile,Davis,RB,KC,SD,#28,235,68,0,0,0,1.36,4.84,0.02,0.25,2.48,0.01,0.93,1.04,"$4,700",0.22
John,Kuhn,RB,GB,MIN,#16,236,69,0,0,0,0.24,1.09,0.01,0.6,5.68,0.02,0.89,1.16,"$4,500",0.26
Jake,Stoneburner,TE,MIA,DAL,#22,237,46,0,0,0,0,0,0,0.24,2.7,0.1,0.87,0.99,"$4,500",0.22
Matt,Cassel,QB,DAL,MIA,#26,238,29,14.86,0.08,0.07,0.16,0.77,0.01,0,-0.01,0,0.87,0.94,"$6,000",0.16
Chad,Henne,QB,JAC,TEN,#12,238,29,14.44,0.09,0.07,0.16,0.61,0,0,0.04,0,0.87,0.91,"$5,600",0.16
